"id","name","url","address","phone","website","rating","reviews","operation_days","open_time","close_time","spend_price_min","spend_price_max","categories","lat","lng","created_at","updated_at"
1,Toko Cleo’s Grosir Baju Wanita Fashion Pgmta,https://www.google.com/maps/place/Toko+Cleo%E2%80%99s+Grosir+Baju+Wanita+Fashion+Pgmta/data=!4m7!3m6!1s0x2e69f69c9d22f3c7:0xfcdaa846e4ba7552!8m2!3d-6.1875383!4d106.8160978!16s%2Fg%2F11cjpb28vj!19sChIJx_MinZz2aS4RUnW65Eao2vw?authuser=0&hl=id&rclk=1,"Pusat Grosir Metro Tanah Abang 2 Lantai 5 Blok B No. 266 Metro Tanah Abang Tanah Abang Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250","085881988992",http://supplierbaju.com/,4.6,73,Everyday,00:00:00,23:59:00,,,Toko Pakaian Wanita,-6.1875383,106.8160978,2025-04-27 17:14:50.955 +0700,2025-04-27 17:14:50.955 +0700
2,UBEKUBEK Tanah Abang,https://www.google.com/maps/place/UBEKUBEK+Tanah+Abang/data=!4m7!3m6!1s0x2e69f71f064d4bb7:0x97fc6c91854eec31!8m2!3d-6.1879037!4d106.8149356!16s%2Fg%2F1tj2qshb!19sChIJt0tNBh_3aS4RMexOhZFs_Jc?authuser=0&hl=id&rclk=1,"Ps. Tanah Abang, Jl. K.H. Mas Mansyur No.1 Blok A Lantai 6, RT.1/RW.9, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260","","",4.4,6391,Monday-Saturday,09:00:00,16:00:00,,,Toko Pakaian Wanita,-6.1879037,106.8149356,2025-04-27 17:14:50.983 +0700,2025-04-27 17:14:50.983 +0700
3,Ika Fashion Blok B Tanah Abang,https://www.google.com/maps/place/Ika+Fashion+Blok+B+Tanah+Abang/data=!4m7!3m6!1s0x2e69f69cd71e4471:0x4e41068e197b9fa8!8m2!3d-6.188035!4d106.8145172!16s%2Fg%2F1ptw2kydw!19sChIJcUQe15z2aS4RqJ97GY4GQU4?authuser=0&hl=id&rclk=1,"Pasar Tanah Abang Blok B Lantai 5 Los B No 65, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250","085782576364",https://ikafashion.contactin.bio/,4.5,48,Everyday,11:00:00,16:00:00,,,Toko Pakaian Seragam,-6.188035,106.8145172,2025-04-27 17:14:51.007 +0700,2025-04-27 17:14:51.007 +0700
4,Toko Pakaian Di & Din Collection,https://www.google.com/maps/place/Toko+Pakaian+Di+%26+Din+Collection/data=!4m7!3m6!1s0x2e69f7cc290a18ed:0xa0415dc723786059!8m2!3d-6.1904524!4d106.808542!16s%2Fg%2F11s2ly62g4!19sChIJ7RgKKcz3aS4RWWB4I8ddQaA?authuser=0&hl=id&rclk=1,"Jl. Jati Petamburan 1 Gg. III No.9, RT.5/RW.1, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260","082213691795","",5.0,36,Everyday,08:00:00,17:00:00,,,Toko Pakaian,-6.1904524,106.808542,2025-04-27 17:14:51.040 +0700,2025-04-27 17:14:51.040 +0700
5,Omah Sitas Pejompongan,https://www.google.com/maps/place/Omah+Sitas+Pejompongan/data=!4m7!3m6!1s0x2e69f700003fe243:0xe8ddc367a0f09333!8m2!3d-6.2066793!4d106.8084913!16s%2Fg%2F11y6r1dbf9!19sChIJQ-I_AAD3aS4RM5PwoGfD3eg?authuser=0&hl=id&rclk=1,"Jl. D. Tondano Jl. Pejompongan Raya No.27, RT.20/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","","",5.0,1,,,,,,Toko Pakaian,-6.2066793,106.8084913,2025-04-27 17:14:51.064 +0700,2025-04-27 17:14:51.064 +0700
7,Warung Nasi Padang Dibao Untuang,https://www.google.com/maps/place/Warung+Nasi+Padang+Dibao+Untuang/data=!4m7!3m6!1s0x2e69f42625643f45:0xc9fd425105ae3616!8m2!3d-6.1874531!4d106.8216315!16s%2Fg%2F1q67fkmj8!19sChIJRT9kJSb0aS4RFjauBVFC_ck?authuser=0&hl=id&rclk=1,"Jl. Kb. Kacang XI No.18, RT.8/RW.2, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240","081315565740","",4.6,599,Everyday,11:00:00,22:00:00,25000,50000,Restoran Padang,-6.1874531,106.8216315,2025-04-27 20:15:16.058 +0700,2025-04-27 20:15:16.058 +0700
8,RM. Kartika Baru,https://www.google.com/maps/place/RM.+Kartika+Baru/data=!4m7!3m6!1s0x2e69f420bcbd40d3:0xeaa54d2e41d0ee7!8m2!3d-6.1941138!4d106.8198334!16s%2Fg%2F1pty11fr2!19sChIJ00C9vCD0aS4R5w4d5NJUqg4?authuser=0&hl=id&rclk=1,"10, Jl. Kebon Kacang Raya No.2, RT.10/RW.4, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240","087877740421","",4.4,75,Everyday,05:30:00,21:00:00,,,Restoran Padang,-6.1941138,106.8198334,2025-04-27 20:15:16.060 +0700,2025-04-27 20:15:16.060 +0700
11,Apotek Kimia Farma 0006 Pejompongan,https://www.google.com/maps/place/Apotek+Kimia+Farma+0006+Pejompongan/data=!4m7!3m6!1s0x2e69f6a9364d4739:0x75ed1704cfdf88b9!8m2!3d-6.20757!4d106.806802!16s%2Fg%2F1tfsq97b!19sChIJOUdNNqn2aS4RuYjfzwQX7XU?authuser=0&hl=id&rclk=1,"Jl. D. Tondano No.01, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","085219315116",http://kimiafarmaapotek.co.id/,4.7,384,Everyday,08:00:00,23:00:00,,,Apotek,-6.20757,106.806802,2025-04-27 21:02:47.491 +0700,2025-04-27 21:02:47.491 +0700
12,Apotek Yanmasum,https://www.google.com/maps/place/Apotek+Yanmasum/data=!4m7!3m6!1s0x2e69f6a94a001bcb:0xb6d6c2ab27935cc6!8m2!3d-6.2112138!4d106.8120821!16s%2Fg%2F1hfdvt_t3!19sChIJyxsASqn2aS4RxlyTJ6vC1rY?authuser=0&hl=id&rclk=1,"Jl. Bendungan Hilir No.17, RT.4/RW.3, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270","0215722695",https://www.apotek-k24.com/,2.3,3,Everyday,08:00:00,22:00:00,,,Apotek,-6.2112138,106.8120821,2025-04-27 21:02:47.496 +0700,2025-04-27 21:02:47.496 +0700
10,Warung solo pejompongan,https://www.google.com/maps/place/Warung+solo+pejompongan/data=!4m7!3m6!1s0x2e69f7901db5126d:0x4d91c3ca0535467e!8m2!3d-6.20527!4d106.8065994!16s%2Fg%2F11c2nhzfw2!19sChIJbRK1HZD3aS4RfkY1BcrDkU0?authuser=0&hl=id&rclk=1,"Jl. Pejompongan Raya No.57, Bend. Hilir, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","","",4.3,72,Everyday,06:00:00,19:00:00,,,Restoran,-6.20527,106.8065994,2025-04-27 20:52:10.311 +0700,2025-04-27 21:39:31.561 +0700
